Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
hpa80-CDT120,21,11.0,0.0,11.0,11.0,5
hpa80-CDT120,22,11.413888888888888,0.1632756889965066,11.125,11.5,5
hpa80-CDT120,23,12.0,0.0,12.0,12.0,5
hpa80-CDT120,24,13.75,0.418514421481094,13.333333333333334,14.444444444444445,5
hpa80-CDT120,25,17.555555555555554,0.39283710065919236,17.0,18.0,5
hpa80-CDT120,26,17.8,0.44721359549995815,17.0,18.0,5
hpa80-CDT120,27,14.821507936507937,0.4587171484396593,14.333333333333334,15.571428571428571,5
hpa80-CDT120,28,12.627777777777776,0.42598379236541895,12.0,13.0,5
hpa80-CDT120,29,11.327777777777778,0.2593915006650831,11.0,11.666666666666666,5
hpa80-CDT120,30,11.0,0.0,11.0,11.0,5
hpa80-CDT120,31,11.0,0.0,11.0,11.0,5
hpa80-CDT120,32,11.0,0.0,11.0,11.0,5
hpa80-CDT120,33,11.0,0.0,11.0,11.0,5
hpa80-CDT120,34,11.0,0.0,11.0,11.0,5
hpa80-CDT120,35,11.0,0.0,11.0,11.0,5
hpa80-CDT120,36,11.0,0.0,11.0,11.0,5
hpa80-CDT120,37,11.0,0.0,11.0,11.0,5
hpa80-CDT120,38,11.242222222222221,0.28678722701725523,11.0,11.6,5
hpa80-CDT120,39,11.866666666666665,0.18257418583505597,11.666666666666666,12.0,5
hpa80-CDT120,40,12.0,0.0,12.0,12.0,5
hpa80-CDT120,41,12.0,0.0,12.0,12.0,5
hpa80-CDT120,42,12.091666666666667,0.14553540997144176,12.0,12.333333333333334,5
hpa80-CDT120,43,12.497222222222224,0.5336298365619523,12.0,13.11111111111111,5
hpa80-CDT120,44,14.075,0.3895827143983992,13.625,14.555555555555555,5
hpa80-CDT120,45,15.448888888888888,0.27330143219439296,15.125,15.8,5
hpa80-CDT120,46,16.78666666666667,0.607636587297229,16.0,17.5,5
hpa80-CDT120,47,18.24484126984127,0.32154367917365123,17.75,18.57142857142857,5
hpa80-CDT120,48,22.13888888888889,1.0009158614630882,20.875,23.5,5
hpa80-CDT120,49,26.21666666666667,0.8241156876717409,25.666666666666668,27.666666666666668,5
hpa80-CDT120,50,26.4,0.8944271909999161,26.0,28.0,5
hpa80-CDT120,51,26.4,0.8944271909999161,26.0,28.0,5
hpa80-CDT120,52,26.925,0.6937218462755803,26.25,28.0,5
hpa80-CDT120,53,29.942857142857143,0.938681228628543,28.857142857142858,30.857142857142858,5
hpa80-CDT120,54,33.56944444444444,0.8504038619356431,32.66666666666667,34.888888888888886,5
hpa80-CDT120,55,33.8,0.8366600265340762,33.0,35.0,5
hpa80-CDT120,56,31.325,0.45586456322026175,30.75,31.875,5
hpa80-CDT120,57,27.55833333333333,0.5590515005318503,26.77777777777778,28.125,5
hpa80-CDT120,58,26.455555555555556,0.787476729031044,25.77777777777778,27.75,5
hpa80-CDT120,59,24.594444444444445,0.4604747952244901,24.0,25.25,5
hpa80-CDT120,60,23.8,0.44721359549995765,23.0,24.0,5
hpa80-CDT120,61,23.8,0.44721359549995765,23.0,24.0,5
hpa80-CDT120,62,23.8,0.44721359549995765,23.0,24.0,5
hpa80-CDT120,63,22.375,0.9762812094883319,21.0,23.375,5
hpa80-CDT120,64,17.477777777777778,0.9108400680852984,16.333333333333332,18.77777777777778,5
hpa80-CDT120,65,12.91888888888889,0.5098050946860979,12.11111111111111,13.444444444444445,5
hpa80-CDT120,66,11.022222222222222,0.049690399499994896,11.0,11.11111111111111,5
hpa80-CDT120,67,11.0,0.0,11.0,11.0,5
hpa80-CDT120,68,11.0,0.0,11.0,11.0,5
hpa80-CDT120,69,11.0,0.0,11.0,11.0,5
hpa80-CDT120,70,11.0,0.0,11.0,11.0,5
hpa80-CDT120,71,11.0,0.0,11.0,11.0,5
hpa80-CDT300,0,11.0,0.0,11.0,11.0,5
hpa80-CDT300,1,11.0,0.0,11.0,11.0,5
hpa80-CDT300,2,11.0,0.0,11.0,11.0,5
hpa80-CDT300,3,11.0,0.0,11.0,11.0,5
hpa80-CDT300,4,11.0,0.0,11.0,11.0,5
hpa80-CDT300,5,11.0,0.0,11.0,11.0,5
hpa80-CDT300,6,11.0,0.0,11.0,11.0,5
hpa80-CDT300,7,11.0,0.0,11.0,11.0,5
hpa80-CDT300,8,11.0,0.0,11.0,11.0,5
hpa80-CDT300,9,11.0,0.0,11.0,11.0,5
hpa80-CDT300,10,11.0,0.0,11.0,11.0,5
hpa80-CDT300,11,11.0,0.0,11.0,11.0,5
hpa80-CDT300,12,11.0,0.0,11.0,11.0,5
hpa80-CDT300,13,11.0,0.0,11.0,11.0,5
hpa80-CDT300,14,11.0,0.0,11.0,11.0,5
hpa80-CDT300,15,11.0,0.0,11.0,11.0,5
hpa80-CDT300,16,11.0,0.0,11.0,11.0,5
hpa80-CDT300,17,11.0,0.0,11.0,11.0,5
hpa80-CDT300,18,11.0,0.0,11.0,11.0,5
hpa80-CDT300,19,11.0,0.0,11.0,11.0,5
hpa80-CDT300,20,11.0,0.0,11.0,11.0,5
hpa80-CDT300,21,11.0,0.0,11.0,11.0,5
hpa80-CDT300,22,11.286111111111111,0.10962548478150655,11.125,11.375,5
hpa80-CDT300,23,12.0,0.0,12.0,12.0,5
hpa80-CDT300,24,13.902777777777777,0.2707442873558045,13.5,14.25,5
hpa80-CDT300,25,17.244444444444447,0.5293835222031823,16.666666666666668,18.0,5
hpa80-CDT300,26,17.4,0.547722557505166,17.0,18.0,5
hpa80-CDT300,27,17.4,0.547722557505166,17.0,18.0,5
hpa80-CDT300,28,17.4,0.547722557505166,17.0,18.0,5
hpa80-CDT300,29,17.35,0.4873397172404483,17.0,18.0,5
hpa80-CDT300,30,14.741666666666665,0.2514617758057035,14.444444444444445,15.0,5
hpa80-CDT300,31,12.188888888888888,0.5837135004583018,11.625,13.0,5
hpa80-CDT300,32,11.444444444444445,0.5610836076867819,11.0,12.11111111111111,5
hpa80-CDT300,33,11.4,0.5477225575051662,11.0,12.0,5
hpa80-CDT300,34,11.3,0.44721359549995804,11.0,12.0,5
hpa80-CDT300,35,11.05,0.11180339887498966,11.0,11.25,5
hpa80-CDT300,36,11.0,0.0,11.0,11.0,5
hpa80-CDT300,37,11.0,0.0,11.0,11.0,5
hpa80-CDT300,38,11.311111111111112,0.29619500583480746,11.0,11.75,5
hpa80-CDT300,39,11.955555555555556,0.0993807989999903,11.777777777777779,12.0,5
hpa80-CDT300,40,12.0,0.0,12.0,12.0,5
hpa80-CDT300,41,12.0,0.0,12.0,12.0,5
hpa80-CDT300,42,12.252777777777776,0.39091732888769604,12.0,12.88888888888889,5
hpa80-CDT300,43,12.65,0.8587782018658836,12.0,14.0,5
hpa80-CDT300,44,13.697222222222223,0.5982226762421922,13.0,14.25,5
hpa80-CDT300,45,15.866666666666665,0.14487116456005905,15.666666666666666,16.0,5
hpa80-CDT300,46,17.346666666666668,0.2062899792902097,17.0,17.5,5
hpa80-CDT300,47,18.80888888888889,0.1682150299357823,18.6,19.0,5
hpa80-CDT300,48,21.944444444444446,0.3086959829290677,21.666666666666668,22.333333333333336,5
hpa80-CDT300,49,26.522222222222222,1.223704908751985,25.555555555555557,28.555555555555557,5
hpa80-CDT300,50,26.8,1.30384048104053,26.0,29.0,5
hpa80-CDT300,51,26.8,1.30384048104053,26.0,29.0,5
hpa80-CDT300,52,26.994444444444447,1.2162734016882557,26.0,29.0,5
hpa80-CDT300,53,29.7,0.890926484060273,28.75,30.75,5
hpa80-CDT300,54,33.65,1.0839741694339404,32.0,35.0,5
hpa80-CDT300,55,33.8,1.0954451150103324,32.0,35.0,5
hpa80-CDT300,56,33.8,1.0954451150103324,32.0,35.0,5
hpa80-CDT300,57,33.8,1.0954451150103324,32.0,35.0,5
hpa80-CDT300,58,33.8,1.0954451150103324,32.0,35.0,5
hpa80-CDT300,59,30.98333333333333,0.8480983630059271,29.875,32.0,5
hpa80-CDT300,60,27.80833333333333,0.7748207678051879,27.0,28.666666666666664,5
hpa80-CDT300,61,27.355555555555554,0.5104615437565507,26.77777777777778,28.0,5
hpa80-CDT300,62,24.794444444444444,0.39667308584908634,24.375,25.444444444444443,5
hpa80-CDT300,63,24.0,0.0,24.0,24.0,5
hpa80-CDT300,64,24.0,0.0,24.0,24.0,5
hpa80-CDT300,65,23.955555555555556,0.0993807989999903,23.77777777777778,24.0,5
hpa80-CDT300,66,22.345,0.4587388778212402,21.77777777777778,22.875,5
hpa80-CDT300,67,16.91111111111111,0.8760795809164623,15.75,17.88888888888889,5
hpa80-CDT300,68,13.220555555555555,0.9490158970425664,12.0,14.666666666666668,5
hpa80-CDT300,69,11.355555555555556,0.7950463919999254,11.0,12.777777777777779,5
hpa80-CDT300,70,11.088888888888889,0.19876159799998117,11.0,11.444444444444445,5
hpa80-CDT300,71,11.0,0.0,11.0,11.0,5
hybrid-CDT120,0,11.0,0.0,11.0,11.0,5
hybrid-CDT120,1,11.0,0.0,11.0,11.0,5
hybrid-CDT120,2,11.0,0.0,11.0,11.0,5
hybrid-CDT120,3,11.0,0.0,11.0,11.0,5
hybrid-CDT120,4,11.0,0.0,11.0,11.0,5
hybrid-CDT120,5,11.0,0.0,11.0,11.0,5
hybrid-CDT120,6,11.0,0.0,11.0,11.0,5
hybrid-CDT120,7,11.0,0.0,11.0,11.0,5
hybrid-CDT120,8,11.0,0.0,11.0,11.0,5
hybrid-CDT120,9,11.0,0.0,11.0,11.0,5
hybrid-CDT120,10,11.0,0.0,11.0,11.0,5
hybrid-CDT120,11,11.0,0.0,11.0,11.0,5
hybrid-CDT120,12,11.0,0.0,11.0,11.0,5
hybrid-CDT120,13,11.0,0.0,11.0,11.0,5
hybrid-CDT120,14,11.135714285714286,0.1345817405815486,11.0,11.285714285714286,5
hybrid-CDT120,15,11.75,0.19764235376052372,11.5,12.0,5
hybrid-CDT120,16,11.525,0.18411052026831423,11.285714285714286,11.714285714285714,5
hybrid-CDT120,17,11.842857142857143,0.13564377867737823,11.625,12.0,5
hybrid-CDT120,18,11.025,0.055901699437494644,11.0,11.125,5
hybrid-CDT120,19,11.0,0.0,11.0,11.0,5
hybrid-CDT120,20,11.0,0.0,11.0,11.0,5
hybrid-CDT120,21,11.0,0.0,11.0,11.0,5
hybrid-CDT120,22,11.757142857142858,0.05868455973269626,11.714285714285715,11.857142857142858,5
hybrid-CDT120,23,12.67142857142857,0.3042534355783424,12.142857142857142,12.875,5
hybrid-CDT120,24,14.392857142857142,0.5493792879612559,13.5,14.875,5
hybrid-CDT120,25,16.820238095238096,0.5633795718253479,15.857142857142858,17.285714285714285,5
hybrid-CDT120,26,14.681349206349205,1.1036344964655935,13.142857142857142,15.88888888888889,5
hybrid-CDT120,27,12.903571428571428,0.6922493652387626,12.0,13.625,5
hybrid-CDT120,28,11.575,0.5273755777432247,11.0,12.0,5
hybrid-CDT120,29,11.05,0.06846531968814554,11.0,11.125,5
hybrid-CDT120,30,11.0,0.0,11.0,11.0,5
hybrid-CDT120,31,11.05,0.11180339887498966,11.0,11.25,5
hybrid-CDT120,32,11.1,0.22360679774997883,11.0,11.5,5
hybrid-CDT120,33,11.0,0.0,11.0,11.0,5
hybrid-CDT120,34,11.0,0.0,11.0,11.0,5
hybrid-CDT120,35,11.0,0.0,11.0,11.0,5
hybrid-CDT120,36,11.303571428571427,0.2055511505932385,11.125,11.625,5
hybrid-CDT120,37,11.95,0.11180339887498941,11.75,12.0,5
hybrid-CDT120,38,12.37142857142857,0.17650591133073668,12.125,12.571428571428571,5
hybrid-CDT120,39,12.589285714285714,0.31109377482472045,12.125,13.0,5
hybrid-CDT120,40,12.942857142857141,0.12777531299998834,12.714285714285714,13.0,5
hybrid-CDT120,41,13.225,0.22360679774997902,13.0,13.5,5
hybrid-CDT120,42,13.657142857142858,0.41156743688251257,13.0,14.0,5
hybrid-CDT120,43,13.8,0.44721359549995776,13.0,14.0,5
hybrid-CDT120,44,14.435714285714287,0.18754251218737322,14.25,14.75,5
hybrid-CDT120,45,15.164285714285715,0.38078028106636447,14.571428571428571,15.5,5
hybrid-CDT120,46,16.067857142857143,0.36539571783512376,15.875,16.714285714285715,5
hybrid-CDT120,47,17.589285714285715,0.6890636207705266,16.5,18.375,5
hybrid-CDT120,48,21.789285714285715,0.44038770024900953,21.42857142857143,22.375,5
hybrid-CDT120,49,26.592857142857145,0.5443353933083561,25.857142857142858,27.25,5
hybrid-CDT120,50,26.725,0.9244931043550294,25.5,27.875,5
hybrid-CDT120,51,26.017857142857146,0.37880720420707825,25.714285714285715,26.625,5
hybrid-CDT120,52,27.411904761904758,0.5994848506574634,26.666666666666668,28.25,5
hybrid-CDT120,53,31.8,0.670820393249937,31.0,32.5,5
hybrid-CDT120,54,36.525,1.0728859136336317,35.285714285714285,38.0,5
hybrid-CDT120,55,33.22857142857143,1.236818251706816,31.75,34.714285714285715,5
hybrid-CDT120,56,31.773809523809526,0.8492422759793915,30.875,32.875,5
hybrid-CDT120,57,29.125,0.9842509842514764,27.625,30.125,5
hybrid-CDT120,58,26.157142857142855,0.6827175963211507,25.125,27.0,5
hybrid-CDT120,59,23.575,0.8671660975939542,22.375,24.714285714285715,5
hybrid-CDT120,60,22.55595238095238,0.4243676100749505,22.0,23.125,5
hybrid-CDT120,61,21.492857142857144,0.41890132051180134,20.875,22.0,5
hybrid-CDT120,62,20.482142857142854,0.38444732395733866,20.0,20.875,5
hybrid-CDT120,63,17.675,0.2501275184984744,17.375,18.0,5
hybrid-CDT120,64,16.735714285714288,0.18445659298024072,16.5,16.875,5
hybrid-CDT120,65,14.725,0.20539595906443747,14.5,15.0,5
hybrid-CDT120,66,14.05,0.11180339887498954,14.0,14.25,5
hybrid-CDT120,67,12.3,0.14252192813739228,12.125,12.5,5
hybrid-CDT120,68,11.1,0.22360679774997894,11.0,11.5,5
hybrid-CDT120,69,11.0,0.0,11.0,11.0,5
hybrid-CDT120,70,11.0,0.0,11.0,11.0,5
hybrid-CDT120,71,11.0,0.0,11.0,11.0,5
hybrid-CDT300,0,11.0,0.0,11.0,11.0,5
hybrid-CDT300,1,11.0,0.0,11.0,11.0,5
hybrid-CDT300,2,11.0,0.0,11.0,11.0,5
hybrid-CDT300,3,11.0,0.0,11.0,11.0,5
hybrid-CDT300,4,11.0,0.0,11.0,11.0,5
hybrid-CDT300,5,11.0,0.0,11.0,11.0,5
hybrid-CDT300,6,11.0,0.0,11.0,11.0,5
hybrid-CDT300,7,11.0,0.0,11.0,11.0,5
hybrid-CDT300,8,11.0,0.0,11.0,11.0,5
hybrid-CDT300,9,11.0,0.0,11.0,11.0,5
hybrid-CDT300,10,11.0,0.0,11.0,11.0,5
hybrid-CDT300,11,11.0,0.0,11.0,11.0,5
hybrid-CDT300,12,11.0,0.0,11.0,11.0,5
hybrid-CDT300,13,11.0,0.0,11.0,11.0,5
hybrid-CDT300,14,11.082142857142857,0.12601627688841036,11.0,11.285714285714286,5
hybrid-CDT300,15,11.725,0.41833001326703767,11.0,12.0,5
hybrid-CDT300,16,11.575,0.22707377655731195,11.375,11.875,5
hybrid-CDT300,17,11.925,0.16770509831248442,11.625,12.0,5
hybrid-CDT300,18,11.85,0.33541019662496835,11.25,12.0,5
hybrid-CDT300,19,12.0,0.0,12.0,12.0,5
hybrid-CDT300,20,12.0,0.0,12.0,12.0,5
hybrid-CDT300,21,11.375,0.3852758751855611,11.0,12.0,5
hybrid-CDT300,22,12.05,0.2592055169165962,11.75,12.375,5
hybrid-CDT300,23,12.532142857142857,0.44899263663795447,12.0,13.0,5
hybrid-CDT300,24,14.035714285714286,0.430056949242582,13.375,14.428571428571429,5
hybrid-CDT300,25,17.032142857142855,0.8222433846942578,16.142857142857142,18.142857142857142,5
hybrid-CDT300,26,15.95,0.9082951062292476,15.0,17.0,5
hybrid-CDT300,27,15.625,0.8569568250501305,14.5,16.625,5
hybrid-CDT300,28,14.475,1.1089127558108438,13.0,15.625,5
hybrid-CDT300,29,14.2,1.0954451150103324,13.0,15.0,5
hybrid-CDT300,30,12.992857142857142,0.4012099048566749,12.625,13.625,5
hybrid-CDT300,31,11.65,0.29843340965783316,11.25,12.0,5
hybrid-CDT300,32,11.025,0.05590169943749477,11.0,11.125,5
