Autoscaler,Minute,MeanReplicaDelta,StdReplicaDelta,MinReplicaDelta,MaxReplicaDelta,Runs
hpa80-CDT120,46,0.2805555555555557,0.3219107690181811,0.0,0.7777777777777786,5
hpa80-CDT120,47,0.0,0.0,0.0,0.0,5
hpa80-CDT120,48,-0.9777777777777779,0.67311694359382,-2.0,-0.44444444444444287,5
hpa80-CDT120,49,-0.9749999999999993,0.34252376686033975,-1.3194444444444429,-0.5555555555555571,5
hpa80-CDT120,50,-2.1777777777777785,1.0630853507423392,-3.5,-0.9027777777777786,5
hpa80-CDT120,51,-0.8194444444444443,0.3677278415242701,-1.375,-0.5,5
hpa80-CDT120,52,1.0583333333333336,0.6703025850730067,0.25,2.0,5
hpa80-CDT120,53,2.0416666666666665,0.6236095644623231,1.5,3.083333333333332,5
hpa80-CDT120,54,0.05,0.1118033988749895,0.0,0.25,5
hpa80-CDT120,55,0.0,0.0,0.0,0.0,5
hpa80-CDT120,56,-0.155555555555555,0.2897423291201167,-0.6666666666666643,0.0,5
hpa80-CDT120,57,-1.7861111111111114,0.6496378383281366,-2.875,-1.3333333333333321,5
hpa80-CDT120,58,-2.280555555555556,0.7942453130387049,-3.5,-1.5,5
hpa80-CDT120,59,-1.0555555555555558,0.45643546458763895,-1.5555555555555571,-0.5,5
hpa80-CDT120,60,0.6388888888888886,0.5726535591135641,0.22222222222222143,1.6111111111111107,5
hpa80-CDT120,61,1.3666666666666671,0.7384397130954861,0.8888888888888893,2.666666666666668,5
hpa80-CDT120,62,0.8722222222222221,0.7850847245306444,0.0,2.1111111111111107,5
hpa80-CDT120,63,0.0,0.0,0.0,0.0,5
hpa80-CDT120,64,-0.2,0.447213595499958,-1.0,0.0,5
hpa80-CDT120,65,0.0,0.0,0.0,0.0,5
hpa80-CDT120,66,-0.95,0.8865311613248572,-2.0,0.0,5
hpa80-CDT120,67,-1.4,0.3791437722025775,-1.75,-1.0,5
hpa80-CDT120,68,-0.019444444444444285,0.6743338047635713,-1.0,0.7083333333333357,5
hpa80-CDT120,69,1.3777777777777778,0.29518382010930183,1.0,1.6666666666666679,5
hpa80-CDT120,70,2.1833333333333327,0.7967914050803241,1.0,3.0,5
hpa80-CDT120,71,0.7027777777777778,0.6091825629987522,0.0,1.625,5
hpa80-CDT300,1,-0.06444444444444422,0.05900408021045203,-0.11111111111111072,0.0,5
hpa80-CDT300,2,0.0,0.0,0.0,0.0,5
hpa80-CDT300,3,0.4579365079365079,0.20419356340949762,0.22222222222222143,0.75,5
hpa80-CDT300,4,1.7531746031746032,0.36133343932077266,1.25,2.222222222222223,5
hpa80-CDT300,5,3.166666666666667,0.4581228472908511,2.3888888888888893,3.555555555555557,5
hpa80-CDT300,6,2.655555555555556,0.5565442591076469,2.069444444444443,3.444444444444443,5
hpa80-CDT300,7,1.9666666666666663,0.30533451600935463,1.6666666666666643,2.375,5
hpa80-CDT300,8,0.35833333333333284,0.2661453237111886,0.0,0.75,5
hpa80-CDT300,9,0.9527777777777778,0.17612074982385864,0.6666666666666679,1.1111111111111107,5
hpa80-CDT300,10,1.394444444444445,0.5601890113123085,0.8888888888888893,2.25,5
hpa80-CDT300,11,1.2944444444444443,0.803061272511262,0.0,2.1111111111111107,5
hpa80-CDT300,12,0.06666666666666643,0.0993807989999903,0.0,0.22222222222222143,5
hpa80-CDT300,13,0.6527777777777779,0.5733268733486193,0.0,1.2777777777777786,5
hpa80-CDT300,14,0.6805555555555557,0.46564040595111694,0.0,1.25,5
hpa80-CDT300,15,0.0,0.0,0.0,0.0,5
hpa80-CDT300,16,0.0,0.0,0.0,0.0,5
hpa80-CDT300,17,1.7194444444444443,0.9206772534054868,0.8888888888888893,3.2222222222222214,5
hpa80-CDT300,18,3.016666666666667,1.044459219753647,1.8611111111111107,4.333333333333336,5
hpa80-CDT300,19,2.0960317460317457,0.6496941932337027,1.0,2.5357142857142847,5
hpa80-CDT300,20,0.16785714285714307,0.31022128376041425,0.0,0.7142857142857153,5
hpa80-CDT300,21,0.0,0.0,0.0,0.0,5
hpa80-CDT300,22,0.0,0.0,0.0,0.0,5
hpa80-CDT300,23,0.0,0.0,0.0,0.0,5
hpa80-CDT300,24,0.0,0.0,0.0,0.0,5
hpa80-CDT300,25,-0.5861111111111115,0.8901033370442355,-2.125,0.0,5
hpa80-CDT300,26,-1.2186507936507929,0.7195331939061456,-1.75,0.0,5
hpa80-CDT300,27,0.45476190476190437,0.9471732619793582,-0.3333333333333357,1.8571428571428577,5
hpa80-CDT300,28,0.2,0.32596012026013244,0.0,0.75,5
hpa80-CDT300,29,0.35,0.7826237921249264,0.0,1.75,5
hpa80-CDT300,30,0.0,0.0,0.0,0.0,5
hpa80-CDT300,31,0.0,0.0,0.0,0.0,5
hpa80-CDT300,32,0.0,0.0,0.0,0.0,5
hpa80-CDT300,33,-0.05,0.11180339887498948,-0.25,0.0,5
hpa80-CDT300,34,-0.5222222222222221,0.49899590537422933,-1.1111111111111107,0.0,5
hpa80-CDT300,35,-0.22777777777777786,0.38510059612496395,-0.8888888888888893,0.0,5
hpa80-CDT300,36,0.375,0.5590169943749475,0.0,1.25,5
hpa80-CDT300,37,0.225,0.33541019662496846,0.0,0.75,5
hpa80-CDT300,38,0.0,0.0,0.0,0.0,5
hpa80-CDT300,39,0.0,0.0,0.0,0.0,5
hpa80-CDT300,40,0.0,0.0,0.0,0.0,5
hpa80-CDT300,41,0.0,0.0,0.0,0.0,5
hpa80-CDT300,42,0.0,0.0,0.0,0.0,5
hpa80-CDT300,43,-0.7111111111111115,0.55567707004414,-1.5555555555555571,0.0,5
hpa80-CDT300,44,0.6944444444444458,0.7927015652847785,-0.19444444444444287,1.625,5
hpa80-CDT300,45,0.6166666666666657,0.7329333926249308,0.0,1.75,5
hpa80-CDT300,46,0.0,0.0,0.0,0.0,5
hpa80-CDT300,47,0.0,0.0,0.0,0.0,5
hpa80-CDT300,48,0.0,0.0,0.0,0.0,5
hpa80-CDT300,49,0.0,0.0,0.0,0.0,5
hpa80-CDT300,50,-0.2305555555555557,0.3463321926334905,-0.7777777777777786,0.0,5
hpa80-CDT300,51,-0.855952380952381,0.3179237688530283,-1.25,-0.5,5
hpa80-CDT300,52,-1.0079365079365075,0.3690156156118345,-1.3888888888888857,-0.5,5
hpa80-CDT300,53,-0.3055555555555557,0.33564016593318285,-0.7777777777777786,0.0,5
hpa80-CDT300,54,0.0,0.0,0.0,0.0,5
hpa80-CDT300,55,0.0,0.0,0.0,0.0,5
hpa80-CDT300,56,0.0,0.0,0.0,0.0,5
hpa80-CDT300,57,0.0,0.0,0.0,0.0,5
hpa80-CDT300,58,0.0,0.0,0.0,0.0,5
hpa80-CDT300,59,0.0,0.0,0.0,0.0,5
hpa80-CDT300,60,-1.66388888888889,1.1752495138280592,-3.1111111111111143,0.0,5
