Minute,Timestamp,Total Request Count,SelectedLatency_ms,CumulativeSLOViolationRate_percent,Method,DisplayName,Run,File
24,1788331200,114538,400.0,3.8461538461538547,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
25,1788331260,123272,390.0,3.6800000000000055,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
26,1788331320,132641,390.0,3.6250000000000004,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
27,1788331380,141507,390.0,3.565217391304354,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
28,1788331440,148913,380.0,3.4347826086956523,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
29,1788331500,155349,380.0,3.3636363636363686,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
30,1788331560,160499,380.0,3.200000000000003,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
31,1788331620,164848,370.0,3.0500000000000083,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
32,1788331680,170468,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
33,1788331740,177793,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
34,1788331800,187144,370.0,3.0500000000000083,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
35,1788331860,196379,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
36,1788331920,204996,370.0,2.833333333333332,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
37,1788331980,211585,360.0,2.7894736842105305,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
38,1788332040,217711,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
39,1788332100,222171,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
40,1788332160,227479,360.0,2.52941176470588,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
41,1788332220,233564,350.0,2.352941176470591,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
42,1788332280,242094,350.0,2.352941176470591,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
43,1788332340,251291,350.0,2.352941176470591,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
44,1788332400,260403,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
45,1788332460,267597,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
46,1788332519,273611,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
47,1788332580,278830,350.0,2.0000000000000018,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
48,1788332640,283101,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
49,1788332700,288426,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
50,1788332760,294807,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
51,1788332820,303205,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
52,1788332880,311047,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
53,1788332940,318361,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
54,1788333000,323594,340.0,1.9583333333333397,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
55,1788333060,328046,340.0,1.9199999999999995,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
56,1788333120,331770,340.0,1.9166666666666665,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
57,1788333180,335542,340.0,1.9166666666666665,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
58,1788333240,340445,340.0,1.9199999999999995,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
59,1788333300,346225,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
60,1788333360,353081,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
61,1788333420,359857,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
62,1788333480,365766,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
63,1788333540,370464,340.0,1.9600000000000062,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
64,1788333600,374851,330.0,1.9230769230769273,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
65,1788333660,378422,330.0,1.9230769230769273,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
